exec_date,id,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
2019-02-04T03:00:33.687,785250674,BUY,369396,0.05,JRF20190204-030033-108530,JRF20190204-030032-705037
2019-02-04T03:00:33.687,785250673,BUY,369394,0.06,JRF20190204-030033-108530,JRF20190204-030032-097747
2019-02-04T03:00:33.687,785250672,BUY,369393,0.24,JRF20190204-030033-108530,JRF20190204-030032-447822
2019-02-04T03:00:33.687,785250671,BUY,369393,0.1,JRF20190204-030033-108530,JRF20190204-030032-097751
2019-02-04T03:00:33.687,785250670,BUY,369393,0.25,JRF20190204-030033-108530,JRF20190204-030032-640217
2019-02-04T03:00:33.687,785250669,BUY,369393,0.03799037,JRF20190204-030033-108530,JRF20190204-030032-640215
2019-02-04T03:00:33.687,785250668,BUY,369393,0.05,JRF20190204-030033-108530,JRF20190204-030032-640214
2019-02-04T03:00:33.687,785250667,BUY,369393,0.1,JRF20190204-030033-108530,JRF20190204-030032-482665
2019-02-04T03:00:33.687,785250666,BUY,369392,0.1,JRF20190204-030033-108530,JRF20190204-030032-097745
2019-02-04T03:00:33.687,785250665,BUY,369392,0.05,JRF20190204-030033-108530,JRF20190204-030032-570360
2019-02-04T03:00:33.687,785250664,BUY,369389,0.11,JRF20190204-030033-108530,JRF20190204-030033-705040
2019-02-04T03:00:33.703,785250785,BUY,369432,0.12486689999999999,JRF20190204-030033-108530,JRF20190204-030031-747027
2019-02-04T03:00:33.703,785250784,BUY,369432,0.8676771400000001,JRF20190204-030033-108530,JRF20190204-030031-447803
2019-02-04T03:00:33.703,785250783,BUY,369432,0.02,JRF20190204-030033-108530,JRF20190204-030030-389060
2019-02-04T03:00:33.703,785250782,BUY,369431,0.1,JRF20190204-030033-108530,JRF20190204-030032-705038
2019-02-04T03:00:33.703,785250781,BUY,369431,0.02,JRF20190204-030033-108530,JRF20190204-030029-389059
2019-02-04T03:00:33.703,785250780,BUY,369430,0.02,JRF20190204-030033-108530,JRF20190204-030029-024824
2019-02-04T03:00:33.703,785250779,BUY,369429,0.02,JRF20190204-030033-108530,JRF20190204-030030-747007
2019-02-04T03:00:33.703,785250778,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030033-641840
2019-02-04T03:00:33.703,785250777,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030033-641707
2019-02-04T03:00:33.703,785250776,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030021-635398
2019-02-04T03:00:33.703,785250775,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030021-635040
2019-02-04T03:00:33.703,785250774,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025957-627927
2019-02-04T03:00:33.703,785250773,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025957-627821
2019-02-04T03:00:33.703,785250772,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025957-627794
2019-02-04T03:00:33.703,785250771,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025957-627769
2019-02-04T03:00:33.703,785250770,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025956-627709
2019-02-04T03:00:33.703,785250769,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030024-638849
2019-02-04T03:00:33.703,785250768,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025956-627617
2019-02-04T03:00:33.703,785250767,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030023-638706
2019-02-04T03:00:33.703,785250766,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025956-627582
2019-02-04T03:00:33.703,785250765,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030022-636950
2019-02-04T03:00:33.703,785250764,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-025956-627480
2019-02-04T03:00:33.703,785250763,BUY,369428,0.15,JRF20190204-030033-108530,JRF20190204-030029-640191
2019-02-04T03:00:33.703,785250762,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030028-640582
2019-02-04T03:00:33.703,785250761,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030027-640386
2019-02-04T03:00:33.703,785250760,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030027-640159
2019-02-04T03:00:33.703,785250759,BUY,369428,0.01,JRF20190204-030033-108530,JRF20190204-030027-639924
2019-02-04T03:00:33.703,785250758,BUY,369428,0.71219774,JRF20190204-030033-108530,JRF20190204-030020-447734
2019-02-04T03:00:33.703,785250757,BUY,369427,0.01,JRF20190204-030033-108530,JRF20190204-030033-641784
2019-02-04T03:00:33.703,785250756,BUY,369427,0.01,JRF20190204-030033-108530,JRF20190204-030033-641674
2019-02-04T03:00:33.703,785250755,BUY,369427,0.01,JRF20190204-030033-108530,JRF20190204-030033-641611
2019-02-04T03:00:33.703,785250754,BUY,369427,0.01,JRF20190204-030033-108530,JRF20190204-030024-638959
2019-02-04T03:00:33.703,785250753,BUY,369427,0.01,JRF20190204-030033-108530,JRF20190204-030023-638210
